ID;Nom de coloc;Latitude;Longitude
92;Les Pervs;50.8320856;4.4013355
93;Le gang de Jules César;50.8323163;4.4183399
94;Choucroute garnie;50.8269086;4.3704182
95;Mafia italienne❤️‍🔥❤️‍🔥;50.8423908;4.4021897
96;La Niche 🐶;50.8106321;4.3979864
97;Crabes Plaskaaar;50.8503214;4.3971374
98;Le Taj;50.8179959;4.3805347
99;Cart'Elles;50.8182323;4.3816925
100;Spritz 2.0;50.8243626;4.4017035
101;Le revolver;50.8422535;4.4184525
102;La VILLA 1;50.8430235;4.4138045
103;Rogations;50.8426692;4.4044808
104;Team Parvis;50.8423330;4.4104838
105;Le Krings;50.8667895;4.3860650
106;La maison des secrets;50.8356216;4.4183295
107;ChalaMai;50.8488042;4.4194350
108;CJJ;50.8170510;4.3861563
109;UR Namur;50.8254180;4.4009998
110;Les étoiles de la cambre;50.8156904;4.3785153
111;Kavell crew🌻;50.8083412;4.3573522
112;Les cherries du 137 🍒;50.8470337;4.4108681
113;Coloc Degroux;50.8414154;4.4004823
114;Meromme;50.8292132;4.3924064
115;El parqueto;50.8239722;4.4575202
116;Six and the City;50.8433749;4.3940286
117;L'Alcooloc;50.8495897;4.4145409
118;La porte bleue;50.8348323;4.4022636
119;Le palace 1;50.8480719;4.4136998
120;Le Castel;50.8420500;4.4137358
121;Bataves 🎉;50.8375341;4.4036635
122;L'ambassade 1;50.8414741;4.4062557
123;Knees;50.8265157;4.3623265
124;ValDUC;50.8191023;4.4188498
125;La bergerie;50.8131898;4.3953520
126;Colloc à Totoche;50.8214368;4.4029500
127;Gooners de Broqueville;50.8397844;4.4136669
128;Bréart girls;50.8237893;4.3476553
129;Le sommet;50.8189120;4.3892729
130;Hymans;50.8465416;4.4308069
131;Coloc en béton;50.8129104;4.3884592
132;Chez Théophile;50.8064324;4.4057572
133;La Villa;50.8335126;4.4073851
134;Coloc du Printemps;50.8198103;4.3868510
135;Les Augustines;50.8520929;4.3999927
136;Le Quattro;50.8161431;4.3691874
137;Les Polonais;50.8261051;4.3490181
138;La prairie;50.8435739;4.4085110
139;La serrurerie;50.8352196;4.4113711
140;CDF;50.8011946;4.4371531
141;Passage du nord;50.8515982;4.3546597
142;Les colocs de l’élan;50.8030996;4.3994196
143;Prek38;50.8405850;4.4103259
144;Le soupe;50.8262796;4.3516975
145;GGG;50.8368187;4.4086135
146;Bitume Caviar;50.8305562;4.3624511
147;Le Chan choucis;50.8306452;4.3718794
148;Floréal on se régale;50.8093184;4.3437816
149;Le manoir;50.8112876;4.3566296
150;Mohaaam Kot;50.8389215;4.4042803
151;La Tiny;50.8311852;4.4132995
152;L’hôtel;50.8459544;4.3879886
153;FFL;50.8233324;4.3318542
154;La coloc de monsieur le directeur;50.8310493;4.4016256
155;Le Poulailler 🐣;50.8410494;4.4609198
156;La summer;50.8197981;4.3879775
157;4ever;50.8493837;4.4003688
158;Les Flambizz;50.7992672;4.4181507
159;Le Veneur;50.7964810;4.4197429
160;Le kotkot;50.8113443;4.3411572
161;Le Mirador;50.8440369;4.3934061
162;Ça boit fort;50.8062053;4.4059749
163;Le chateau Ambulant;50.8388580;4.4196045
164;Les Boul’s;50.8442575;4.4153638
165;URUGAY10;50.8004428;4.3937934
166;Les colocs à terre;50.8171712;4.4270852
167;7 rings;50.8186224;4.3924308
168;Plasky;50.8484973;4.3956504
169;JJM;50.8242382;4.3552759
170;Les Elysettes;50.8301314;4.3680078
171;Crispy nuggets;50.8648101;4.3377074
172;Didier;50.8382101;4.4112396
173;Chambord;50.7995240;4.3781604
174;l'Ambassade 2;50.8012220;4.3962074
175;La zone;50.8173395;4.4113730
176;La Coupole;50.8405752;4.4145564
177;Les Hors Saisons;50.8201766;4.3853071
178;Smos;50.7966778;4.4024483
179;⁠Villa PB;50.8301160;4.3801847
180;Frankies;50.8460515;4.3882877
181;Colovers;50.8364195;4.3909809
182;Les didiers;50.8190323;4.3616684
183;Edgard;50.8401661;4.4222850
184;Le cater;50.8238511;4.3809766
185;Les Starchives 🌟;50.8024907;4.4021290
186;Les Potes au Feu 🔥;50.8172617;4.4127272
187;La TEI;50.8328206;4.4029263
188;Le squat;50.8417130;4.4014946
189;Les lames fatales;50.8166496;4.3643919
190;Seven;50.8377014;4.4018491
191;Le Steph;50.8314866;4.3570687
192;Les cultivateurs;50.8311157;4.3935760
193;Le Hulk;50.8240048;4.3754985
194;POUPZI;50.8243749;4.3532731
195;Les Oisillons ;50.8284073;4.4118903
196;TBDefined;50.8330937;4.3930114
197;MERICOOO;50.8334892;4.3905891
198;⁠Le Capitole;50.8320873;4.4172256
199;Carottes rapées;50.8170880;4.3877208
200;Les argilleux;50.8399862;4.4675678
201;La pièce;50.8363106;4.4110272
202;Le petit suisse ;50.8177817;4.3861569
203;Le KOAT;50.8260642;4.3594883
204;la Guinguette;50.8489835;4.4196427
205;Le K ;50.8335591;4.3624196
206;La fresque;50.8356216;4.4183295
207;La Brique;50.8195964;4.3761127
208;casa auderghem;50.8353922;4.3877557
209;Le Moulin Rouge;50.8194716;4.3847146
210;Les copains d’abord ;50.8408983;4.4290496
